Name;WMC;DIT;NOCC;CBO;RFC;LCOM;WMC;DIT;NOCC;RFC;LCOM;NOM;MPC;DAC;SIZE1;SIZE2;DSC;NOH;ANA;DAM;DCC;CAMC;MOA;MFA;NOP;CIS;NOM;Reusability;Flexibility;Understandability;Functionality;Extendibility;Effectiveness;FanIn
gr.uom.Service.Based.Assesment.model.ProjectAnalysis;75.0;1;0;6.0;100.0;228.0;1.0;1;0;100.0;228.0;75.0;0;1;102;38;1.0;0;0.0;1.0;0.0;0.096;1.0;0.0;0.0;75.0;75.0;38.024;0.75;-24.71832;16.73152;0.0;0.4;6
gr.uom.Service.Based.Assesment.model.Comment;6.0;1;0;0.0;8.0;1.0;1.0;1;0;8.0;1.0;6.0;0;0;8;4;1.0;0;0.0;0.5;0.0;0.5;0.0;0.0;0.0;6.0;6.0;3.625;0.125;-1.98;1.6;0.0;0.1;0
gr.uom.Service.Based.Assesment.model.Project;51.0;1;0;4.0;68.0;96.0;1.0;1;0;68.0;96.0;51.0;0;0;67;25;1.0;0;0.0;1.0;0.0;0.11764705882352941;0.0;0.0;0.0;51.0;51.0;26.029411764705884;0.25;-16.791176470588237;11.454117647058824;0.0;0.2;4
gr.uom.Service.Based.Assesment.model.ProjectFile;75.0;1;0;4.0;100.0;236.0;1.0;1;0;100.0;236.0;75.0;0;1;93;37;1.0;0;0.0;0.33333334;1.0;0.06857142857142857;1.0;0.0;0.0;75.0;75.0;38.01714285714286;0.5833333358168602;-24.94737142529317;16.72822857142857;0.0;0.2666666686534882;3
gr.uom.Service.Based.Assesment.service.ProjectService;27.0;1;0;4.0;50.0;24.0;1.5;1;0;50.0;24.0;27.0;16;1;127;11;1.0;0;0.0;1.0;2.0;0.2222222222222222;2.0;0.0;0.0;24.0;27.0;12.555555555555555;1.25;-8.836666666666668;5.526666666666666;0.0;0.6000000000000001;2
gr.uom.Service.Based.Assesment.service.ProjectAnalysisService;40.0;1;0;8.0;109.0;59.0;1.7333333492279053;1;0;109.0;59.0;40.0;83;0;186;17;1.0;0;0.0;1.0;6.0;0.1984126984126984;2.0;0.0;0.0;36.0;40.0;18.549603174603174;1.25;-13.134523809523811;8.163809523809524;0.0;0.6000000000000001;2
gr.uom.Service.Based.Assesment.repository.ProjectAnalysisRepository;15.0;1;0;2.0;20.0;10.0;-1000;1;0;20.0;10.0;15.0;0;0;5;5;1.0;0;0.0;-1000;1.0;1.0;0.0;0.0;0.0;0.0;15.0;0.75;-0.25;-5.28;0.33999999999999997;0.0;-0.2;1
gr.uom.Service.Based.Assesment.repository.ProjectFileRepository;3.0;1;0;1.0;4.0;0.0;-1000;1;0;4.0;0.0;3.0;0;0;1;1;1.0;0;0.0;-1000;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.75;-0.25;-1.32;0.33999999999999997;0.0;-0.2;1
gr.uom.Service.Based.Assesment.repository.ProjectRepository;15.0;1;0;2.0;20.0;10.0;-1000;1;0;20.0;10.0;15.0;0;0;5;5;1.0;0;0.0;-1000;1.0;1.0;0.0;0.0;0.0;0.0;15.0;0.75;-0.25;-5.28;0.33999999999999997;0.0;-0.2;1
gr.uom.Service.Based.Assesment.controllers.ProjectController;36.0;1;0;5.0;70.0;0.0;2.153846263885498;1;0;70.0;0.0;36.0;85;2;174;14;1.0;0;0.0;1.0;5.0;0.5416666666666666;2.0;0.0;0.0;36.0;36.0;18.635416666666668;1.25;-11.70125;8.205;0.0;0.6000000000000001;0
gr.uom.Service.Based.Assesment.controllers.ProjectAnalysisController;15.0;1;0;3.0;31.0;0.0;1.0;1;0;31.0;0.0;15.0;12;2;38;8;1.0;0;0.0;1.0;3.0;0.3;3.0;0.0;0.0;15.0;15.0;8.075;1.75;-4.851;3.556;0.0;0.8;0
gr.uom.Service.Based.Assesment.Parser;24.0;1;0;3.0;77.0;28.0;3.8888888359069824;1;0;77.0;28.0;24.0;148;0;198;9;1.0;0;0.0;1.0;2.0;0.475;0.0;0.0;0.0;18.0;24.0;9.61875;0.25;-7.76325;4.237;0.0;0.2;1
gr.uom.Service.Based.Assesment.ServiceBasedAssessmentOfCodeQualityApplication;3.0;1;0;0.0;4.0;0.0;0.5;1;0;4.0;0.0;3.0;0;0;3;1;1.0;0;0.0;-1000;0.0;1.0;0.0;0.0;0.0;3.0;3.0;2.25;-0.25;-1.32;1.0;0.0;-0.2;0
