Name;WMC;DIT;NOCC;CBO;RFC;LCOM;WMC;DIT;NOCC;RFC;LCOM;NOM;MPC;DAC;SIZE1;SIZE2;DSC;NOH;ANA;DAM;DCC;CAMC;MOA;MFA;NOP;CIS;NOM;Reusability;Flexibility;Understandability;Functionality;Extendibility;Effectiveness;FanIn
gr.uom.Service.Based.Assesment.model.ProjectAnalysis;100.0;1;0;6.0;125.0;228.0;1.0;1;0;125.0;228.0;100.0;0;1;102;38;1.0;0;0.0;1.0;0.0;0.096;1.0;0.0;0.0;100.0;100.0;50.524;0.75;-32.96832;22.23152;0.0;0.4;6
gr.uom.Service.Based.Assesment.model.Comment;8.0;1;0;0.0;10.0;1.0;1.0;1;0;10.0;1.0;8.0;0;0;8;4;1.0;0;0.0;0.5;0.0;0.5;0.0;0.0;0.0;8.0;8.0;4.625;0.125;-2.64;2.04;0.0;0.1;0
gr.uom.Service.Based.Assesment.model.Project;68.0;1;0;4.0;85.0;96.0;1.0;1;0;85.0;96.0;68.0;0;0;67;25;1.0;0;0.0;1.0;0.0;0.11764705882352941;0.0;0.0;0.0;68.0;68.0;34.529411764705884;0.25;-22.401176470588236;15.194117647058825;0.0;0.2;4
gr.uom.Service.Based.Assesment.model.ProjectFile;100.0;1;0;4.0;125.0;236.0;1.0;1;0;125.0;236.0;100.0;0;1;93;37;1.0;0;0.0;0.33333334;1.0;0.06857142857142857;1.0;0.0;0.0;100.0;100.0;50.51714285714286;0.5833333358168602;-33.19737142529317;22.22822857142857;0.0;0.2666666686534882;3
gr.uom.Service.Based.Assesment.service.ProjectService;36.0;1;0;4.0;59.0;24.0;1.5;1;0;59.0;24.0;36.0;16;1;127;11;1.0;0;0.0;1.0;2.0;0.2222222222222222;2.0;0.0;0.0;32.0;36.0;16.555555555555557;1.25;-11.806666666666667;7.286666666666666;0.0;0.6000000000000001;2
gr.uom.Service.Based.Assesment.service.ProjectAnalysisService;54.0;1;0;8.0;123.0;59.0;1.7333333492279053;1;0;123.0;59.0;54.0;83;0;186;17;1.0;0;0.0;1.0;6.0;0.1984126984126984;2.0;0.0;0.0;48.0;54.0;24.549603174603174;1.25;-17.754523809523807;10.803809523809525;0.0;0.6000000000000001;2
gr.uom.Service.Based.Assesment.repository.ProjectAnalysisRepository;20.0;1;0;2.0;25.0;10.0;-1000;1;0;25.0;10.0;20.0;0;0;5;5;1.0;0;0.0;-1000;1.0;1.0;0.0;0.0;0.0;0.0;20.0;0.75;-0.25;-6.930000000000001;0.33999999999999997;0.0;-0.2;1
gr.uom.Service.Based.Assesment.repository.ProjectFileRepository;4.0;1;0;1.0;5.0;0.0;-1000;1;0;5.0;0.0;4.0;0;0;1;1;1.0;0;0.0;-1000;0.0;1.0;0.0;0.0;0.0;0.0;4.0;0.75;-0.25;-1.6500000000000001;0.33999999999999997;0.0;-0.2;1
gr.uom.Service.Based.Assesment.repository.ProjectRepository;20.0;1;0;2.0;25.0;10.0;-1000;1;0;25.0;10.0;20.0;0;0;5;5;1.0;0;0.0;-1000;1.0;1.0;0.0;0.0;0.0;0.0;20.0;0.75;-0.25;-6.930000000000001;0.33999999999999997;0.0;-0.2;1
gr.uom.Service.Based.Assesment.controllers.ProjectController;48.0;1;0;5.0;82.0;0.0;2.153846263885498;1;0;82.0;0.0;48.0;85;2;174;14;1.0;0;0.0;1.0;5.0;0.5416666666666666;2.0;0.0;0.0;48.0;48.0;24.635416666666668;1.25;-15.66125;10.845;0.0;0.6000000000000001;0
gr.uom.Service.Based.Assesment.controllers.ProjectAnalysisController;20.0;1;0;3.0;36.0;0.0;1.0;1;0;36.0;0.0;20.0;12;2;38;8;1.0;0;0.0;1.0;3.0;0.3;3.0;0.0;0.0;20.0;20.0;10.575;1.75;-6.501;4.656;0.0;0.8;0
gr.uom.Service.Based.Assesment.Parser;34.0;1;0;3.0;90.0;45.0;3.3636362552642822;1;0;90.0;45.0;34.0;149;0;203;11;1.0;0;0.0;1.0;2.0;0.37142857142857144;0.0;0.0;0.0;24.0;34.0;12.592857142857143;0.25;-11.097428571428573;5.5445714285714285;0.0;0.2;1
gr.uom.Service.Based.Assesment.ServiceBasedAssessmentOfCodeQualityApplication;4.0;1;0;0.0;5.0;0.0;0.5;1;0;5.0;0.0;4.0;0;0;3;1;1.0;0;0.0;-1000;0.0;1.0;0.0;0.0;0.0;4.0;4.0;2.75;-0.25;-1.6500000000000001;1.22;0.0;-0.2;0
