Name;WMC;DIT;NOCC;CBO;RFC;LCOM;WMC;DIT;NOCC;RFC;LCOM;NOM;MPC;DAC;SIZE1;SIZE2;DSC;NOH;ANA;DAM;DCC;CAMC;MOA;MFA;NOP;CIS;NOM;Reusability;Flexibility;Understandability;Functionality;Extendibility;Effectiveness;FanIn
gr.uom.Service.Based.Assesment.model.ProjectAnalysis;25.0;1;0;6.0;50.0;228.0;1.0;1;0;50.0;228.0;25.0;0;1;102;38;1.0;0;0.0;1.0;0.0;0.096;1.0;0.0;0.0;25.0;25.0;13.024;0.75;-8.21832;5.73152;0.0;0.4;6
gr.uom.Service.Based.Assesment.model.Comment;2.0;1;0;0.0;4.0;1.0;1.0;1;0;4.0;1.0;2.0;0;0;8;4;1.0;0;0.0;0.5;0.0;0.5;0.0;0.0;0.0;2.0;2.0;1.625;0.125;-0.66;0.72;0.0;0.1;0
gr.uom.Service.Based.Assesment.model.Project;17.0;1;0;4.0;34.0;96.0;1.0;1;0;34.0;96.0;17.0;0;0;67;25;1.0;0;0.0;1.0;0.0;0.11764705882352941;0.0;0.0;0.0;17.0;17.0;9.029411764705882;0.25;-5.571176470588235;3.974117647058824;0.0;0.2;4
gr.uom.Service.Based.Assesment.model.ProjectFile;25.0;1;0;4.0;50.0;236.0;1.0;1;0;50.0;236.0;25.0;0;1;93;37;1.0;0;0.0;0.33333334;1.0;0.06857142857142857;1.0;0.0;0.0;25.0;25.0;13.017142857142858;0.5833333358168602;-8.447371425293174;5.728228571428571;0.0;0.2666666686534882;3
gr.uom.Service.Based.Assesment.service.ProjectService;9.0;1;0;4.0;32.0;24.0;1.5;1;0;32.0;24.0;9.0;16;1;127;11;1.0;0;0.0;1.0;2.0;0.2222222222222222;2.0;0.0;0.0;8.0;9.0;4.555555555555555;1.25;-2.896666666666667;2.006666666666667;0.0;0.6000000000000001;2
gr.uom.Service.Based.Assesment.service.ProjectAnalysisService;12.0;1;0;8.0;82.0;34.0;1.923076868057251;1;0;82.0;34.0;12.0;102;0;179;15;1.0;0;0.0;1.0;6.0;0.20238095238095238;2.0;0.0;0.0;12.0;12.0;6.550595238095238;1.25;-3.8932142857142855;2.884285714285715;0.0;0.6000000000000001;2
gr.uom.Service.Based.Assesment.repository.ProjectAnalysisRepository;5.0;1;0;2.0;10.0;10.0;-1000;1;0;10.0;10.0;5.0;0;0;5;5;1.0;0;0.0;-1000;1.0;1.0;0.0;0.0;0.0;0.0;5.0;0.75;-0.25;-1.9800000000000002;0.33999999999999997;0.0;-0.2;1
gr.uom.Service.Based.Assesment.repository.ProjectFileRepository;1.0;1;0;1.0;2.0;0.0;-1000;1;0;2.0;0.0;1.0;0;0;1;1;1.0;0;0.0;-1000;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.75;-0.25;-0.66;0.33999999999999997;0.0;-0.2;1
gr.uom.Service.Based.Assesment.repository.ProjectRepository;5.0;1;0;2.0;10.0;10.0;-1000;1;0;10.0;10.0;5.0;0;0;5;5;1.0;0;0.0;-1000;1.0;1.0;0.0;0.0;0.0;0.0;5.0;0.75;-0.25;-1.9800000000000002;0.33999999999999997;0.0;-0.2;1
gr.uom.Service.Based.Assesment.controllers.ProjectController;12.0;1;0;5.0;46.0;0.0;2.153846263885498;1;0;46.0;0.0;12.0;85;2;176;14;1.0;0;0.0;1.0;5.0;0.5416666666666666;2.0;0.0;0.0;12.0;12.0;6.635416666666667;1.25;-3.78125;2.9250000000000003;0.0;0.6000000000000001;0
gr.uom.Service.Based.Assesment.controllers.ProjectAnalysisController;5.0;1;0;3.0;21.0;0.0;1.0;1;0;21.0;0.0;5.0;12;2;38;8;1.0;0;0.0;1.0;3.0;0.3;3.0;0.0;0.0;5.0;5.0;3.075;1.75;-1.5510000000000002;1.356;0.0;0.8;0
gr.uom.Service.Based.Assesment.Parser;8.0;1;0;3.0;61.0;28.0;7.44444465637207;1;0;61.0;28.0;8.0;177;0;262;8;1.0;0;0.0;-1000;2.0;0.475;0.0;0.0;0.0;6.0;8.0;3.61875;-0.25;-3.14325;1.597;0.0;-0.2;1
gr.uom.Service.Based.Assesment.ServiceBasedAssessmentOfCodeQualityApplication;1.0;1;0;0.0;2.0;0.0;0.5;1;0;2.0;0.0;1.0;0;0;3;1;1.0;0;0.0;-1000;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.25;-0.25;-0.66;0.5599999999999999;0.0;-0.2;0
