Classifier Name,Dataset,Balance,Num Training Samples,Num Non-Healthy Companies,TP,TN,FP,FN,F1 Score,AUC ROC
Decision Tree_max_depth_10,Test,Unbalanced,2679,62,36,2608,9,26,0.13861386138613863,0.7886030544701518
Decision Tree_max_depth_15,Train,Unbalanced,8037,186,135,7806,45,51,0.967032967032967,0.8600373488481023
Decision Tree_max_depth_15,Test,Unbalanced,2679,62,52,2604,13,10,0.11347517730496454,0.9168710786791081
Decision Tree_max_depth_15,Train,Unbalanced,8037,186,147,7812,39,39,0.9586776859504132,0.8926775302920111
Decision Tree_max_depth_15,Test,Unbalanced,2679,62,40,2598,19,22,0.18705035971223022,0.8189505343473812
Decision Tree_max_depth_15,Train,Unbalanced,8037,186,141,7807,44,45,0.9723756906077349,0.8762300672607968
Decision Tree_max_depth_15,Test,Unbalanced,2679,62,46,2603,14,16,0.13846153846153847,0.8682929234410245
Decision Tree_max_depth_15,Train,Unbalanced,8037,186,138,7805,46,48,0.986449864498645,0.8680381788225046
Decision Tree_max_depth_15,Test,Unbalanced,2679,62,49,2605,12,13,0.08064516129032258,0.8928685887559012
Random Forest_n_estimators_100_max_depth_5,Train,Unbalanced,8037,186,0,7851,0,186,0.0,0.5
Random Forest_n_estimators_100_max_depth_5,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Random Forest_n_estimators_100_max_depth_5,Train,Unbalanced,8037,186,0,7851,0,186,0.0,0.5
Random Forest_n_estimators_100_max_depth_5,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Random Forest_n_estimators_100_max_depth_5,Train,Unbalanced,8037,186,0,7851,0,186,0.0,0.5
Random Forest_n_estimators_100_max_depth_5,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Random Forest_n_estimators_100_max_depth_5,Train,Unbalanced,8037,186,0,7851,0,186,0.0,0.5
Random Forest_n_estimators_100_max_depth_5,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Random Forest_n_estimators_200_max_depth_10,Train,Unbalanced,8037,186,57,7851,0,129,0.5060240963855421,0.6532258064516129
Random Forest_n_estimators_200_max_depth_10,Test,Unbalanced,2679,62,16,2617,0,46,0.0,0.6290322580645161
Random Forest_n_estimators_200_max_depth_10,Train,Unbalanced,8037,186,53,7851,0,133,0.5354330708661417,0.6424731182795699
Random Forest_n_estimators_200_max_depth_10,Test,Unbalanced,2679,62,20,2617,0,42,0.0,0.6612903225806451
Random Forest_n_estimators_200_max_depth_10,Train,Unbalanced,8037,186,58,7851,0,128,0.5238095238095238,0.6559139784946236
Random Forest_n_estimators_200_max_depth_10,Test,Unbalanced,2679,62,15,2617,0,47,0.03125,0.6209677419354839
Random Forest_n_estimators_200_max_depth_10,Train,Unbalanced,8037,186,51,7851,0,135,0.5637065637065637,0.6370967741935484
Random Forest_n_estimators_200_max_depth_10,Test,Unbalanced,2679,62,22,2617,0,40,0.0,0.6774193548387097
Random Forest_n_estimators_300_max_depth_15,Train,Unbalanced,8037,186,135,7851,0,51,0.9973045822102425,0.8629032258064516
Random Forest_n_estimators_300_max_depth_15,Test,Unbalanced,2679,62,50,2617,0,12,0.09230769230769231,0.9032258064516129
Random Forest_n_estimators_300_max_depth_15,Train,Unbalanced,8037,186,139,7851,0,47,1.0,0.8736559139784946
Random Forest_n_estimators_300_max_depth_15,Test,Unbalanced,2679,62,46,2617,0,16,0.03125,0.8709677419354839
Random Forest_n_estimators_300_max_depth_15,Train,Unbalanced,8037,186,138,7851,0,48,1.0,0.8709677419354839
Random Forest_n_estimators_300_max_depth_15,Test,Unbalanced,2679,62,47,2617,0,15,0.031746031746031744,0.8790322580645161
Random Forest_n_estimators_300_max_depth_15,Train,Unbalanced,8037,186,143,7851,0,43,0.9973045822102425,0.8844086021505376
Random Forest_n_estimators_300_max_depth_15,Test,Unbalanced,2679,62,42,2617,0,20,0.0,0.8387096774193548
k-Nearest Neighbors_n_neighbors_5,Train,Unbalanced,8037,186,21,7847,4,165,0.19444444444444445,0.5561968682847058
